Date,Open,High,Low,Close,Adj Close,Volume
2021-12-08,156.839996,162.330002,150.029999,160.440002,160.440002,3143000
2021-12-09,165.660004,170.399994,148.757004,150.199997,150.199997,4504400
2021-12-10,151.509995,155.660004,139.690002,140.479996,140.479996,5638300
2021-12-13,140.460007,147.740005,140.080002,145.029999,145.029999,5662100
2021-12-14,134.039993,138.750000,127.269997,132.000000,132.000000,9058800
2021-12-15,132.000000,141.759995,129.500000,139.050003,139.050003,5091000
2021-12-16,142.990005,143.490005,128.649994,131.869995,131.869995,5406900
2021-12-17,129.789993,137.809998,127.269997,134.589996,134.589996,8283500
2021-12-20,128.479996,134.766998,123.900002,131.889999,131.889999,4160300
2021-12-21,134.539993,144.669998,131.889999,144.339996,144.339996,4200400
2021-12-22,143.410004,145.259995,135.830002,136.809998,136.809998,3429000
2021-12-23,137.130005,138.000000,133.270004,137.270004,137.270004,2018300
2021-12-27,138.080002,141.339996,137.100006,138.940002,138.940002,2054700
2021-12-28,140.809998,140.809998,132.429993,132.929993,132.929993,2105700
2021-12-29,132.429993,134.139999,129.070007,133.300003,133.300003,1988100
2021-12-30,132.009995,136.690002,132.009995,133.199997,133.199997,1580700
2021-12-31,133.270004,134.875000,130.576004,131.500000,131.500000,2013700
2022-01-03,131.070007,132.100006,122.709999,126.160004,126.160004,3644300
2022-01-04,124.519997,125.970001,108.580002,114.959999,114.959999,9785400
2022-01-05,113.500000,116.160004,103.459999,105.949997,105.949997,6186000
2022-01-06,103.519997,108.580002,102.150002,104.040001,104.040001,5066600
2022-01-07,102.870003,110.040001,101.769997,107.000000,107.000000,6148300
2022-01-10,102.000000,111.029999,100.010002,110.750000,110.750000,5626800
2022-01-11,110.230003,115.800003,109.059998,114.139999,114.139999,4827500
2022-01-12,117.000000,122.129997,112.000000,113.970001,113.970001,5778200
2022-01-13,112.940002,114.059998,98.489998,98.980003,98.980003,8118600
2022-01-14,99.250000,101.949997,95.580002,100.290001,100.290001,5975100
2022-01-18,97.099998,100.150002,93.309998,93.629997,93.629997,5750500
2022-01-19,94.989998,99.470001,93.860001,94.320000,94.320000,4910200
2022-01-20,95.860001,102.610001,93.190002,93.410004,93.410004,4909500
2022-01-21,94.379997,96.430000,87.839996,88.550003,88.550003,7120700
