Date,Open,High,Low,Close,Adj Close,Volume
2022-03-03,173500.000000,179000.000000,173000.000000,177500.000000,176545.703125,1244300
2022-03-04,177500.000000,177500.000000,177500.000000,177500.000000,176545.703125,0
2022-03-07,170000.000000,171000.000000,165500.000000,168000.000000,167096.781250,1439259
2022-03-08,164000.000000,170500.000000,163500.000000,168000.000000,167096.781250,728464
2022-03-10,168000.000000,168000.000000,168000.000000,168000.000000,167096.781250,0
2022-03-11,168000.000000,168000.000000,168000.000000,168000.000000,167096.781250,0
2022-03-14,166500.000000,167500.000000,163000.000000,164500.000000,163615.593750,1112790
2022-03-15,164500.000000,164500.000000,164500.000000,164500.000000,163615.593750,0
2022-03-16,164500.000000,164500.000000,164500.000000,164500.000000,163615.593750,0
2022-03-17,164500.000000,164500.000000,164500.000000,164500.000000,163615.593750,0
2022-03-18,171500.000000,171500.000000,169500.000000,171000.000000,170080.640625,782119
2022-03-21,171000.000000,171000.000000,171000.000000,171000.000000,170080.640625,0
2022-03-22,169000.000000,174500.000000,169000.000000,173500.000000,172567.203125,1166430
2022-03-23,175000.000000,177500.000000,174000.000000,176000.000000,175053.765625,952954
2022-03-24,174000.000000,177000.000000,173500.000000,176000.000000,175053.765625,709518
2022-03-25,176500.000000,176500.000000,173000.000000,174000.000000,173064.515625,563456
2022-03-28,172000.000000,175500.000000,171000.000000,174500.000000,173561.828125,459678
2022-03-29,176000.000000,178000.000000,174000.000000,176500.000000,175551.078125,545335
2022-03-30,180000.000000,183000.000000,179500.000000,181000.000000,180026.875000,1082135
2022-03-31,180500.000000,181000.000000,179000.000000,180500.000000,179529.578125,576522
2022-04-01,178000.000000,178500.000000,177000.000000,178000.000000,177043.015625,470770
2022-04-04,177000.000000,179000.000000,174500.000000,178000.000000,177043.015625,509106
2022-04-05,178500.000000,180000.000000,177000.000000,179000.000000,178037.640625,426072
2022-04-06,177000.000000,182000.000000,176500.000000,180000.000000,179032.265625,641803
2022-04-07,180000.000000,182000.000000,178500.000000,178500.000000,177540.328125,778374
2022-04-08,178000.000000,179000.000000,175500.000000,176500.000000,175551.078125,458780
2022-04-11,176000.000000,181000.000000,175500.000000,179500.000000,178534.953125,641674
2022-04-12,179000.000000,180500.000000,176500.000000,178000.000000,177043.015625,626266
2022-04-13,179500.000000,181000.000000,178500.000000,181000.000000,180026.875000,498547
2022-04-14,181000.000000,182000.000000,176500.000000,177500.000000,176545.703125,898024
2022-04-15,176500.000000,178000.000000,175500.000000,177000.000000,176048.390625,559522
2022-04-18,176000.000000,178500.000000,175500.000000,178500.000000,177540.328125,275773
2022-04-19,178500.000000,181500.000000,178000.000000,181000.000000,180026.875000,623880
2022-04-20,181000.000000,184000.000000,180000.000000,183000.000000,182016.125000,814107
2022-04-21,184000.000000,184500.000000,182500.000000,183000.000000,182016.125000,657116
2022-04-22,181500.000000,182500.000000,179000.000000,180000.000000,179032.265625,852781
2022-04-25,177000.000000,184500.000000,176500.000000,182000.000000,181021.500000,1504197
2022-04-26,187000.000000,191000.000000,186500.000000,187000.000000,185994.625000,2313611
2022-04-27,184000.000000,188500.000000,183000.000000,187000.000000,185994.625000,1152068
2022-04-28,188000.000000,189000.000000,186000.000000,188500.000000,187486.562500,705457
2022-04-29,187000.000000,188000.000000,184000.000000,186000.000000,185000.000000,767005
2022-05-02,184000.000000,188000.000000,184000.000000,187000.000000,185994.625000,496083
2022-05-03,185500.000000,186500.000000,182500.000000,183500.000000,182513.437500,662535
2022-05-04,183500.000000,184500.000000,182000.000000,184000.000000,183010.750000,347996
2022-05-06,181500.000000,183500.000000,181000.000000,182500.000000,181518.812500,375723
2022-05-10,180500.000000,181500.000000,176000.000000,180500.000000,179529.578125,774377
2022-05-11,178500.000000,184500.000000,178000.000000,183000.000000,182016.125000,724251
2022-05-12,181000.000000,183500.000000,180000.000000,180500.000000,179529.578125,691192
2022-05-13,182000.000000,187000.000000,181500.000000,186500.000000,185497.312500,924029
2022-05-16,188500.000000,189500.000000,183500.000000,184000.000000,183010.750000,548683
2022-05-17,185500.000000,186500.000000,182500.000000,185500.000000,184502.687500,530263
2022-05-18,187000.000000,187500.000000,183500.000000,185500.000000,184502.687500,541137
2022-05-19,181500.000000,183500.000000,181000.000000,182000.000000,181021.500000,542030
2022-05-20,183500.000000,186500.000000,183000.000000,186500.000000,185497.312500,469517
2022-05-23,188500.000000,189000.000000,186500.000000,188000.000000,186989.250000,436270
2022-05-24,187000.000000,188000.000000,183500.000000,185000.000000,184005.375000,431231
2022-05-25,186000.000000,186000.000000,182000.000000,183500.000000,182513.437500,482136
2022-05-26,183500.000000,186000.000000,183000.000000,184000.000000,183010.750000,428541
2022-05-27,186500.000000,186500.000000,184500.000000,185500.000000,184502.687500,334939
2022-05-30,187500.000000,188000.000000,185500.000000,187500.000000,186491.937500,368902
2022-05-31,187000.000000,189500.000000,187000.000000,189500.000000,188481.187500,916327
2022-06-02,189000.000000,189000.000000,186500.000000,187500.000000,186491.937500,387758
2022-06-03,188500.000000,189000.000000,185000.000000,187000.000000,185994.625000,400003
2022-06-07,186000.000000,186500.000000,183000.000000,183500.000000,182513.437500,621262
2022-06-08,183500.000000,185000.000000,182000.000000,183000.000000,182016.125000,556940
2022-06-09,183000.000000,183500.000000,180500.000000,182500.000000,181518.812500,656175
2022-06-10,181500.000000,185000.000000,180500.000000,184500.000000,183508.062500,571131
2022-06-13,180000.000000,181500.000000,173000.000000,175000.000000,174059.140625,1193167
2022-06-14,171500.000000,172500.000000,169000.000000,171500.000000,170577.953125,1122467
2022-06-15,173500.000000,179000.000000,171500.000000,174000.000000,173064.515625,995832
2022-06-16,177000.000000,177500.000000,172500.000000,173000.000000,172069.890625,619047
2022-06-17,168000.000000,172000.000000,168000.000000,170000.000000,169086.015625,784685
2022-06-20,172500.000000,173000.000000,168500.000000,170500.000000,169583.328125,518566
2022-06-21,171500.000000,175000.000000,170000.000000,172500.000000,171572.578125,532008
2022-06-22,174500.000000,175000.000000,171000.000000,171500.000000,170577.953125,633838
2022-06-23,171500.000000,174000.000000,170000.000000,171000.000000,170080.640625,807430
2022-06-24,170500.000000,175000.000000,170500.000000,173000.000000,172069.890625,472975
2022-06-27,177000.000000,185000.000000,176500.000000,183000.000000,182016.125000,1348957
2022-06-28,183500.000000,189000.000000,183500.000000,186000.000000,185000.000000,1021549
2022-06-29,180000.000000,181000.000000,172500.000000,175500.000000,175500.000000,2543120
2022-06-30,176500.000000,184500.000000,175500.000000,180500.000000,180500.000000,1651221
2022-07-01,181500.000000,185000.000000,179500.000000,180000.000000,180000.000000,916020
2022-07-04,181000.000000,183000.000000,175000.000000,178000.000000,178000.000000,1006440
2022-07-05,180000.000000,181000.000000,173500.000000,177500.000000,177500.000000,1097504
2022-07-06,176000.000000,177000.000000,172000.000000,172500.000000,172500.000000,924184
2022-07-07,175000.000000,177000.000000,172500.000000,175000.000000,175000.000000,536363
2022-07-08,177500.000000,180500.000000,177000.000000,178000.000000,178000.000000,824702
2022-07-11,180000.000000,182000.000000,179000.000000,179000.000000,179000.000000,660814
2022-07-12,180000.000000,181500.000000,177000.000000,179000.000000,179000.000000,539027
2022-07-13,180000.000000,185000.000000,178500.000000,183500.000000,183500.000000,941277
2022-07-14,183000.000000,184500.000000,180500.000000,182500.000000,182500.000000,780637
2022-07-15,183000.000000,184500.000000,178500.000000,183500.000000,183500.000000,768143
2022-07-18,187000.000000,188500.000000,183500.000000,185500.000000,185500.000000,699961
2022-07-19,185000.000000,189000.000000,184500.000000,188500.000000,188500.000000,868892
2022-07-20,191500.000000,191500.000000,188500.000000,189000.000000,189000.000000,985986
2022-07-21,189000.000000,193500.000000,185500.000000,189000.000000,189000.000000,2136819
2022-07-22,191000.000000,193000.000000,188000.000000,191000.000000,191000.000000,1378005
2022-07-25,192500.000000,198500.000000,192500.000000,196000.000000,196000.000000,1352264
2022-07-26,196000.000000,196500.000000,192500.000000,196000.000000,196000.000000,735482
2022-07-27,196000.000000,197000.000000,193000.000000,196000.000000,196000.000000,608998
2022-07-28,198000.000000,198000.000000,194000.000000,195000.000000,195000.000000,757504
2022-07-29,196000.000000,197000.000000,194000.000000,196000.000000,196000.000000,844829
2022-08-01,196000.000000,198000.000000,195000.000000,196000.000000,196000.000000,601112
2022-08-02,196500.000000,197000.000000,193500.000000,196500.000000,196500.000000,721088
2022-08-03,197000.000000,198000.000000,196000.000000,197000.000000,197000.000000,683572
2022-08-04,198000.000000,198500.000000,194500.000000,196500.000000,196500.000000,622111
2022-08-05,196000.000000,197500.000000,193500.000000,194500.000000,194500.000000,919482
2022-08-08,193500.000000,196000.000000,193000.000000,196000.000000,196000.000000,635689
2022-08-09,195500.000000,196000.000000,191000.000000,193500.000000,193500.000000,962838
2022-08-10,193000.000000,194500.000000,192000.000000,192500.000000,192500.000000,510243
2022-08-11,195000.000000,195000.000000,192500.000000,193000.000000,193000.000000,731121
2022-08-12,193500.000000,197500.000000,193500.000000,196000.000000,196000.000000,627417
2022-08-16,198000.000000,199500.000000,196000.000000,197500.000000,197500.000000,505801
2022-08-17,195000.000000,196500.000000,188000.000000,190000.000000,190000.000000,1410422
2022-08-18,186500.000000,187500.000000,184000.000000,186000.000000,186000.000000,1438270
2022-08-19,187000.000000,191500.000000,186500.000000,190000.000000,190000.000000,770986
2022-08-22,187500.000000,192000.000000,187000.000000,189000.000000,189000.000000,532730
2022-08-23,189000.000000,193000.000000,188000.000000,189000.000000,189000.000000,711974
2022-08-24,190000.000000,191000.000000,185500.000000,188000.000000,188000.000000,700265
2022-08-25,189000.000000,192500.000000,188500.000000,192000.000000,192000.000000,561737
2022-08-26,192500.000000,194000.000000,191500.000000,193500.000000,193500.000000,473581
2022-08-29,188500.000000,189000.000000,186500.000000,188500.000000,188500.000000,601747
2022-08-30,190500.000000,196000.000000,190500.000000,195500.000000,195500.000000,891335
2022-08-31,195000.000000,197500.000000,194500.000000,196000.000000,196000.000000,762426
2022-09-01,193500.000000,197500.000000,191000.000000,195500.000000,195500.000000,785337
2022-09-02,199000.000000,203500.000000,196000.000000,196500.000000,196500.000000,1401989
2022-09-05,197500.000000,201000.000000,197500.000000,200000.000000,200000.000000,886938
2022-09-06,200500.000000,201000.000000,198000.000000,201000.000000,201000.000000,591596
2022-09-07,201000.000000,203000.000000,199000.000000,202000.000000,202000.000000,758254
2022-09-08,202500.000000,203000.000000,198500.000000,200000.000000,200000.000000,860563
2022-09-13,200500.000000,201500.000000,198000.000000,200500.000000,200500.000000,910285
2022-09-14,197000.000000,200000.000000,196000.000000,198500.000000,198500.000000,668955
2022-09-15,199000.000000,201000.000000,198000.000000,198000.000000,198000.000000,404656
2022-09-16,199500.000000,202500.000000,199000.000000,201000.000000,201000.000000,911954
2022-09-19,201500.000000,202000.000000,198000.000000,201500.000000,201500.000000,693456
2022-09-20,202500.000000,202500.000000,198500.000000,198500.000000,198500.000000,692217
2022-09-21,197000.000000,197500.000000,194500.000000,197000.000000,197000.000000,622478
2022-09-22,194500.000000,197000.000000,192500.000000,193500.000000,193500.000000,540322
2022-09-23,194000.000000,195500.000000,190500.000000,190500.000000,190500.000000,680644
2022-09-26,187000.000000,187500.000000,180500.000000,182500.000000,182500.000000,1609911
2022-09-27,182500.000000,186000.000000,182000.000000,186000.000000,186000.000000,890612
2022-09-28,184000.000000,184500.000000,177500.000000,179500.000000,179500.000000,1163914
2022-09-29,182500.000000,184000.000000,181000.000000,181500.000000,181500.000000,714142
2022-09-30,181000.000000,183000.000000,174000.000000,175500.000000,175500.000000,419992
